rating,avg_score
PG-13 - Teens 13 or older,7.72
PG-13 - Teens 13 or older,6.89
PG-13 - Teens 13 or older,6.65
PG-13 - Teens 13 or older,7.91
PG-13 - Teens 13 or older,7.69
PG-13 - Teens 13 or older,7.26
PG-13 - Teens 13 or older,7.42
PG-13 - Teens 13 or older,5.85
PG-13 - Teens 13 or older,7.91
PG-13 - Teens 13 or older,5.54
PG-13 - Teens 13 or older,6.83
PG-13 - Teens 13 or older,6.51
PG-13 - Teens 13 or older,6.44
PG-13 - Teens 13 or older,5.97
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.44
PG-13 - Teens 13 or older,6.27
PG-13 - Teens 13 or older,5.92
PG-13 - Teens 13 or older,6.84
PG-13 - Teens 13 or older,5.71
PG-13 - Teens 13 or older,6.79
PG-13 - Teens 13 or older,6.7
PG-13 - Teens 13 or older,5.41
PG-13 - Teens 13 or older,6.01
PG-13 - Teens 13 or older,8.3
PG-13 - Teens 13 or older,6.63
PG-13 - Teens 13 or older,6.92
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.83
PG-13 - Teens 13 or older,6.26
PG-13 - Teens 13 or older,5.49
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.56
PG-13 - Teens 13 or older,7.34
PG-13 - Teens 13 or older,7.44
PG-13 - Teens 13 or older,6.72
PG-13 - Teens 13 or older,5.87
PG-13 - Teens 13 or older,7.32
PG-13 - Teens 13 or older,7.48
PG-13 - Teens 13 or older,7.5
PG-13 - Teens 13 or older,5.85
PG-13 - Teens 13 or older,7.71
PG-13 - Teens 13 or older,7.13
PG-13 - Teens 13 or older,7.85
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,3.87
PG-13 - Teens 13 or older,5.69
PG-13 - Teens 13 or older,6.54
PG-13 - Teens 13 or older,8.28
PG-13 - Teens 13 or older,3.46
PG-13 - Teens 13 or older,6.46
PG-13 - Teens 13 or older,5.62
PG-13 - Teens 13 or older,4.62
PG-13 - Teens 13 or older,6.88
PG-13 - Teens 13 or older,6.13
PG-13 - Teens 13 or older,7.8
